color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,,137,37304950.0,"['biography', 'crime', 'drama']",J. Edgar,2011,english,Usa,35000000.0,6.6,"Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever",16000
,walter salles,137,717753.0,"['adventure', 'drama']",On the Road,2012,english,France,25000000.0,6.1,"Kristen Stewart,Viggo Mortensen,Kirsten Dunst",27000
color,,137,281666058.0,"['adventure', 'sci-fi']",The Hunger Games: Mockingjay - Part 2,2015,english,Usa,160000000.0,6.6,"Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson",38000
color,angelina jolie pitt,137,115603980.0,"['biography', 'drama', 'sport', 'war']",Unbroken,2014,english,Usa,65000000.0,-1.2,"Finn Wittrock,Jack O'Connell,Alex Russell",35000
color,angelina jolie pitt,137,115603980.0,"['biography', 'drama', 'sport', 'war']",Unbroken,2014,english,Usa,65000000.0,7.2,"Finn Wittrock,Jack O'Connell,Alex Russell",35000
,seth macfarlane,136,42615685.0,"['comedy', 'western']",A Million Ways to Die in the West,2014,english,Usa,40000000.0,6.1,"Liam Neeson,Charlize Theron,Seth MacFarlane",24000
color,anthony russo,136,259746958.0,"['action', 'adventure', 'sci-fi']",Captain America: The Winter Soldier,2014,english,Usa,170000000.0,7.8,"Scarlett Johansson,Chris Evans,Hayley Atwell",55000
color,rob marshall,136,241063875.0,"['action', 'adventure', 'fantasy']",Pirates of the Caribbean: On Stranger Tides,2011,english,Usa,250000000.0,6.7,"Johnny Depp,Sam Claflin,Stephen Graham",58000
color,adam shankman,136,38509342.0,"['comedy', 'drama', 'musical', 'romance']",Rock of Ages,2012,english,Usa,75000000.0,5.9,"James Martin Kelly,Shane Hartline,Celina Beach",33000
color,,136,52474616.0,['drama'],Wall Street: Money Never Sleeps,2010,english,Usa,70000000.0,6.3,"Frank Langella,Austin Pendleton,John Buffalo Mailer",13000
color,tony gilroy,135,113165635.0,"['action', 'adventure', 'thriller']",The Bourne Legacy,2012,english,Usa,125000000.0,6.7,"Jeremy Renner,Scott Glenn,Stacy Keach",31000
color,steve mcqueen,134,56667870.0,"['biography', 'drama', 'history']",12 Years a Slave,2013,english,Usa,20000000.0,8.1,"Quvenzhané Wallis,Scoot McNairy,Taran Killam",83000
color,paul greengrass,134,107100855.0,"['biography', 'drama', 'thriller']",Captain Phillips,2013,english,Usa,55000000.0,7.9,"Tom Hanks,Chris Mulkey,Michael Chernus",65000
color,david ayer,134,85707116.0,"['action', 'drama', 'war']",Fury,2014,english,Usa,68000000.0,7.6,"Brad Pitt,Logan Lerman,Jim Parrack",82000
color,clint eastwood,5,47034272.0,"['biography', 'drama', 'music', 'musical']",Jersey Boys,2014,english,Usa,40000000.0,6.9,"Johnny Cannizzaro,Steve Schirripa,Scott Vance",16000
